Sample,predict_label
A1-A0SF,0
A1-A0SJ,0
A1-A0SK,2
A1-A0SO,2
A1-A0SQ,0
A2-A04N,0
A2-A04P,2
A2-A04Q,2
A2-A04T,2
A2-A04W,3
A2-A0CM,2
A2-A0CP,0
A2-A0CS,0
A2-A0CX,3
A2-A0D0,2
A2-A0D2,2
A2-A0D3,0
A2-A0EO,0
A2-A0ES,0
A2-A0EU,0
A2-A0EV,0
A2-A0EW,0
A2-A0EX,0
A2-A0ST,2
A2-A0SX,2
A2-A0T0,2
A2-A0T1,3
A2-A0T2,2
A2-A0T3,1
A2-A0T5,0
A2-A0T6,0
A2-A0T7,0
A2-A0YC,0
A2-A0YD,0
A2-A0YE,2
A2-A0YF,0
A2-A0YI,0
A2-A0YJ,2
A2-A0YL,0
A2-A0YM,2
A2-A0YT,1
A2-A1FV,0
A2-A1FW,1
A2-A1FX,1
A2-A1FZ,0
A2-A1G0,0
A2-A1G1,2
A2-A1G4,0
A2-A259,0
A2-A25B,1
A2-A25C,1
A2-A25D,1
A2-A25E,1
A2-A25F,2
A2-A3KC,0
A2-A3KD,0
A7-A0CD,0
A7-A0CE,2
A7-A0CG,0
A7-A0CH,0
A7-A0D9,0
A7-A0DA,2
A7-A0DB,0
A7-A0DC,0
A7-A13D,2
A7-A13E,2
A7-A26E,0
A7-A26G,2
A7-A26H,0
A7-A2KD,1
A7-A3IZ,0
A7-A3J0,0
A7-A3J1,0
A8-A06P,0
A8-A06R,1
A8-A06Y,0
A8-A07E,0
A8-A07F,0
A8-A07I,3
A8-A07O,2
A8-A07R,2
A8-A083,0
A8-A084,1
A8-A086,1
A8-A08J,3
A8-A08L,3
A8-A08O,0
A8-A08P,1
A8-A08T,0
A8-A08X,3
A8-A08Z,0
A8-A095,0
A8-A09A,0
A8-A09B,0
A8-A09G,3
A8-A09K,1
A8-A09X,3
A8-A0A4,0
A8-A0A7,3
AC-A23C,0
AC-A23E,0
AC-A2B8,0
AC-A2BK,2
AC-A2BM,0
AC-A2FB,0
AC-A2FF,0
AC-A2FG,0
AC-A3HN,0
AN-A04D,2
AN-A0AL,2
AN-A0AT,2
AN-A0FJ,2
AN-A0FL,2
AN-A0FS,0
AN-A0FV,3
AN-A0FX,2
AN-A0XN,0
AN-A0XP,0
AN-A0XS,0
AN-A0XU,2
AO-A0J5,0
AO-A0J6,2
AO-A0J8,0
AO-A0J9,0
AO-A0JE,3
AO-A0JF,0
AO-A0JL,2
AO-A0JM,1
AO-A124,2
AO-A128,2
AO-A129,2
AO-A12A,0
AO-A12C,0
AO-A12D,3
AO-A12F,2
AO-A1KP,0
AO-A1KQ,1
AO-A1KR,2
AO-A1KS,1
AO-A1KT,1
AQ-A1H2,0
AR-A0TP,2
AR-A0TS,2
AR-A0TU,2
AR-A0TX,3
AR-A0U0,2
AR-A0U2,1
AR-A0U4,2
AR-A1AH,2
AR-A1AI,2
AR-A1AJ,2
AR-A1AK,0
AR-A1AL,0
AR-A1AQ,2
AR-A1AS,1
AR-A1AU,0
AR-A1AX,0
AR-A1AY,2
AR-A24K,1
AR-A24L,0
AR-A24M,0
AR-A24N,1
AR-A24O,0
AR-A24P,0
AR-A24Q,2
AR-A24R,1
AR-A24S,1
AR-A24T,0
AR-A24U,3
AR-A24V,0
AR-A24W,0
AR-A24X,0
AR-A24Z,1
AR-A250,1
AR-A251,2
AR-A252,0
AR-A254,1
AR-A256,2
AR-A2LE,0
AR-A2LK,1
AR-A2LL,1
AR-A2LM,0
AR-A2LN,0
AR-A2LO,0
AR-A2LR,2
B6-A0I2,2
B6-A0I9,3
B6-A0IJ,2
B6-A0IK,3
B6-A0IO,0
B6-A0IQ,2
B6-A0RG,0
B6-A0RH,3
B6-A0RM,0
B6-A0RN,0
B6-A0RO,0
B6-A0RP,0
B6-A0RT,2
B6-A0RU,2
B6-A0RV,0
B6-A0WX,2
B6-A0X0,0
B6-A0X1,2
B6-A2IU,0
BH-A0AU,0
BH-A0AV,2
BH-A0AZ,0
BH-A0B0,0
BH-A0B2,0
BH-A0B3,2
BH-A0B4,0
BH-A0B7,3
BH-A0BA,0
BH-A0BC,0
BH-A0BF,0
BH-A0BJ,0
BH-A0BM,0
BH-A0BO,0
BH-A0BP,0
BH-A0BR,0
BH-A0BT,0
BH-A0BW,2
BH-A0BZ,1
BH-A0DG,0
BH-A0DH,0
BH-A0DI,0
BH-A0DL,2
BH-A0DP,0
BH-A0DS,0
BH-A0DT,0
BH-A0DV,0
BH-A0E0,2
BH-A0E1,0
BH-A0E7,0
BH-A0EA,0
BH-A0EB,0
BH-A0EI,0
BH-A0GY,1
BH-A0H6,0
BH-A0H7,0
BH-A0HA,0
BH-A0HP,0
BH-A0RX,2
BH-A0W4,0
BH-A0W5,0
BH-A18G,2
BH-A18L,1
BH-A18M,0
BH-A18N,0
BH-A18P,1
BH-A18Q,2
BH-A18R,3
BH-A18V,2
BH-A1EN,3
BH-A1EO,0
BH-A1ES,0
BH-A1ET,0
BH-A1EU,0
BH-A1EV,3
BH-A1EX,0
BH-A1EY,0
BH-A1F0,2
BH-A1F2,3
BH-A1F5,1
BH-A1F6,2
BH-A1F8,1
BH-A1FB,0
BH-A1FC,2
BH-A1FD,1
BH-A1FE,0
BH-A1FG,0
BH-A1FH,0
BH-A1FJ,1
BH-A1FL,0
BH-A1FM,1
BH-A1FN,1
BH-A1FR,0
BH-A201,0
BH-A202,3
BH-A203,3
BH-A204,1
BH-A209,1
BH-A28Q,0
BH-A2L8,0
C8-A12K,2
C8-A12L,3
C8-A12P,3
C8-A12Q,3
C8-A12T,1
C8-A12U,1
C8-A12V,2
C8-A12W,1
C8-A12Y,0
C8-A12Z,3
C8-A131,2
C8-A134,2
C8-A135,3
C8-A137,3
C8-A1HE,0
C8-A1HF,3
C8-A1HG,1
C8-A1HI,0
C8-A1HJ,2
C8-A1HK,3
C8-A1HL,0
C8-A1HM,1
C8-A1HN,1
C8-A1HO,1
C8-A26V,1
C8-A26W,0
C8-A26X,3
C8-A26Y,3
C8-A26Z,0
C8-A273,0
C8-A274,1
C8-A275,3
C8-A278,3
C8-A27A,1
C8-A27B,2
C8-A3M7,0
C8-A3M8,0
D8-A142,2
D8-A143,2
D8-A145,0
D8-A146,0
D8-A147,2
D8-A1J8,1
D8-A1J9,3
D8-A1JA,3
D8-A1JB,0
D8-A1JC,1
D8-A1JD,1
D8-A1JE,0
D8-A1JF,3
D8-A1JH,0
D8-A1JI,0
D8-A1JJ,1
D8-A1JK,3
D8-A1JL,2
D8-A1JM,2
D8-A1JN,0
D8-A1JP,0
D8-A1JS,0
D8-A1JT,1
D8-A1JU,0
D8-A1X6,1
D8-A1X7,1
D8-A1X8,0
D8-A1X9,1
D8-A1XA,0
D8-A1XB,0
D8-A1XC,0
D8-A1XD,0
D8-A1XF,1
D8-A1XG,0
D8-A1XJ,3
D8-A1XK,2
D8-A1XL,1
D8-A1XM,0
D8-A1XO,0
D8-A1XQ,2
D8-A1XR,0
D8-A1XS,1
D8-A1XT,3
D8-A1XU,0
D8-A1XV,0
D8-A1XY,0
D8-A1XZ,1
D8-A1Y0,0
D8-A1Y1,1
D8-A1Y2,0
D8-A1Y3,1
D8-A27E,0
D8-A27F,2
D8-A27G,0
D8-A27H,2
D8-A27I,0
D8-A27K,0
D8-A27L,0
D8-A27M,2
D8-A27N,1
D8-A27P,0
D8-A27R,1
D8-A27T,0
D8-A27V,0
D8-A27W,1
E2-A10B,0
E2-A10C,1
E2-A14N,2
E2-A14P,3
E2-A14Q,0
E2-A14V,1
E2-A14X,2
E2-A14Y,2
E2-A14Z,0
E2-A150,2
E2-A152,3
E2-A153,0
E2-A154,0
E2-A156,0
E2-A158,2
E2-A159,2
E2-A15C,0
E2-A15D,0
E2-A15G,0
E2-A15I,0
E2-A15O,0
E2-A15P,0
E2-A1AZ,2
E2-A1B0,3
E2-A1B1,0
E2-A1BC,0
E2-A1BD,0
E2-A1IG,0
E2-A1IL,0
E2-A1IU,0
E2-A1L6,0
E2-A1L7,1
E2-A1L8,0
E2-A1LB,3
E2-A1LG,0
E2-A1LK,2
E2-A1LL,2
E2-A3DX,0
E9-A1N3,0
E9-A1N4,0
E9-A1N5,0
E9-A1N6,1
E9-A1N8,2
E9-A1N9,1
E9-A1NA,1
E9-A1ND,2
E9-A1NE,0
E9-A1NF,0
E9-A1NG,0
E9-A1NH,0
E9-A1NI,1
E9-A1QZ,0
E9-A1R0,0
E9-A1R2,0
E9-A1R3,0
E9-A1R4,1
E9-A1R5,1
E9-A1R6,0
E9-A1R7,1
E9-A1RB,1
E9-A1RC,1
E9-A1RD,0
E9-A1RE,1
E9-A1RF,1
E9-A1RH,0
E9-A1RI,0
E9-A226,1
E9-A227,0
E9-A228,1
E9-A229,0
E9-A22A,0
E9-A22B,1
E9-A22D,1
E9-A22E,0
E9-A22G,2
E9-A22H,1
E9-A243,2
E9-A244,2
E9-A245,0
